participant_id,state,urbanicity,parent_relationship,parent_education,hh_income,parent_ethnicity,parent_employment,hs_type,parenting_course,childdev_course,hs_parenting_support,hs_parenting_support_reason,hs_parenting_anti_reason,hs_childdev_support,hs_childdev_support_reason,hs_childdev_anti_reason,parenting_source,source_trusted,source_freq,parenting_attitude1,parenting_attitude2,parenting_attitude3,parenting_attitude4,parenting_attitude5,parenting_attitude6,parenting_attitude7,parenting_attitude8,parenting_attitude9,parenting_attitude10,parenting_attitude11,parenting_attitude12,parenting_attitude13,parenting_attitude14,parenting_attitude15,parenting_attitude16,parenting_attitude17,parenting_attitude18,parenting_attitude19,topics_important,topics_unimportant,teaching_parenting_importance,teaching_childdev_importance,parent_style_strict,parent_style_warmth,parent_style_negotiate,parent_style_permissive,parent_style_connection,parent_style_explainrules
P001,Pennsylvania,Urban,Mother,High school diploma/GED,"35,000 – 65,000 USD",Caucasian,Full-time job,Public,Yes,Yes,Yes,"Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),High school students are mature enough to discuss parenting topics",,Yes,"Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.)",,"My parents,Friends",Friends,Friends,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,"Relevant skills and knowledge to be ready to parent (e.g. financial stability, safe environment)",Parenting behaviors and approaches (e.g. parenting styles).,Important,Important,50,90,50,50,90,50
P002,Pennsylvania,Suburban,Mother,Bachelor’s degree,"175,001 – 250,000 USD",Caucasian,Stay at home parent,Religious,No,Yes,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding parenting helps high school students understand their own parents better,High school students are mature enough to discuss parenting topics",,Yes,"Everybody should know about how children grow and learn,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"My parents,Internet search (e.g. through a Google search),Books,Social media,Friends",My parents,My parents,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Slightly agree,Agree,Slightly agree,Agree,Slightly agree,Slightly agree,Child social and emotional development (e.g. regulating emotions),"Parenting resources (e.g. medical, legal, health support available for children and caregivers)",Important,Very important,50,100,90,50,100,100
P003,California,Suburban,Mother,Bachelor’s degree,"105,001 – 175,000 USD",Caucasian,Full-time job,Charter,No,No,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Understanding parenting helps high school students understand their own parents better",,Yes,Everybody should know about how children grow and learn,,"My parents,Internet search (e.g. through a Google search),Pediatrician,Books",My parents,My parents,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly disagree,Slightly disagree,Parent-child relationships (e.g. how to build supportive relationships with a developing child),"Parenting resources (e.g. medical, legal, health support available for children and caregivers)",Very important,Important,72,73,32,22,74,77
P004,Ohio,Suburban,Mother,High school diploma/GED,"0 - 35,000 USD",Caucasian,Part-time job,Public,No,No,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding parenting helps high school students understand their own parents better",,Yes,"Everybody should know about how children grow and learn,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"My parents,Internet search (e.g. through a Google search),Pediatrician",My parents,My parents,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Parent-child relationships (e.g. how to build supportive relationships with a developing child),"Parenting resources (e.g. medical, legal, health support available for children and caregivers)",Extremely important,Extremely important,100,97,0,6,100,8
P005,North Carolina,Suburban,Father,Bachelor’s degree,"105,001 – 175,000 USD",African-American,Full-time job,Public,Yes,No,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Understanding parenting helps high school students understand their own parents better",,Yes,"Everybody should know about how children grow and learn,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"My parents,My partner’s parents,AI (e.g. ChatGPT),Books,Online discussion platform,Friends",Books,AI (e.g. ChatGPT),Strongly agree,Strongly agree,Slightly disagree,Strongly agree,Disagree,Agree,Strongly agree,Slightly agree,Agree,Strongly agree,Slightly agree,Agree,Agree,Agree,Agree,Agree,Slightly disagree,Slightly disagree,Disagree,Parent-child relationships (e.g. how to build supportive relationships with a developing child),"Identifying health challenges (e.g. recognizing developmental issues, treating injury) with their children",Very important,Very important,50,86,64,43,63,68
P006,Missouri,Suburban,Father,High school diploma/GED,"65,001 – 105,000 USD",Caucasian,"Stay at home parent,Unemployed",Public,No,No,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding parenting helps high school students understand their own parents better,High school students are mature enough to discuss parenting topics",,Yes,"Everybody should know about how children grow and learn,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids,Other (please specify):",,"My parents,Internet search (e.g. through a Google search),AI (e.g. ChatGPT),Pediatrician,Books,Online discussion platform,Friends,School/Daycare",Pediatrician,AI (e.g. ChatGPT),Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Parent-child relationships (e.g. how to build supportive relationships with a developing child),"Child physical development (e.g. body growth, motor skills, etc.)",Extremely important,Very important,75,70,80,80,85,70
P007,California,Suburban,Mother,Some high school,"65,001 – 105,000 USD",Hispanic/Latino,Full-time job,Public,No,Yes,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding parenting helps high school students understand their own parents better,High school students are mature enough to discuss parenting topics",,Yes,"Everybody should know about how children grow and learn,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"My parents,My partner’s parents,Internet search (e.g. through a Google search),AI (e.g. ChatGPT),Pediatrician,Books,Academic journals,Parenting newsletters/ subscription,Social media,Online discussion platform,Friends,Religious organizations,School/Daycare",Internet search (e.g. through a Google search),The internet (e.g. through a Google search),Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Parent/caregiver well-being (e.g. women’s well-being during pregnancy),Parenting behaviors and approaches (e.g. parenting styles).,Extremely important,Extremely important,76,100,74,100,97,79
P008,Louisiana,Suburban,Mother,Bachelor’s degree,"35,000 – 65,000 USD",African-American,Full-time job,"Public,Home School",Yes,Yes,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding parenting helps high school students understand their own parents better,High school students are mature enough to discuss parenting topics",,Yes,"Everybody should know about how children grow and learn,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"My parents,AI (e.g. ChatGPT),Social media,Online discussion platform,Friends",Social media groups for parents,Social media groups for parents,Agree,Strongly agree,Disagree,Agree,Strongly disagree,Slightly disagree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Slightly agree,Agree,Slightly agree,"Relevant skills and knowledge to be ready to parent (e.g. financial stability, safe environment)",Child and family nutrition (e.g. how to provide proper nutrition),Very important,Very important,63,71,80,21,78,49
P009,Nebraska,Rural,Father,Bachelor’s degree,"105,001 – 175,000 USD",Caucasian,Unemployed,"Private,Religious",No,No,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Understanding parenting helps high school students understand their own parents better,High school students are mature enough to discuss parenting topics",,Yes,"Everybody should know about how children grow and learn,Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"AI (e.g. ChatGPT),Friends,Other (Please specify)",Other (Please specify),Other (Please specify),Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Child social and emotional development (e.g. regulating emotions),"Identifying health challenges (e.g. recognizing developmental issues, treating injury) with their children",Extremely important,Extremely important,18,95,65,50,99,84
P010,Oklahoma,Rural,Father,"Doctoral degree (e.g. MD, PhD, EdD) or Professional degree (e.g. JD)","65,001 – 105,000 USD",Caucasian,Unemployed,I do not have a child in high school,No,No,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding parenting helps high school students understand their own parents better,High school students are mature enough to discuss parenting topics",,Yes,"Everybody should know about how children grow and learn,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"Books,Friends,Religious organizations",Religious organizations,Religious organizations,Strongly agree,Agree,Disagree,Strongly agree,Strongly disagree,Slightly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Slightly agree,Child social and emotional development (e.g. regulating emotions),"Parenting resources (e.g. medical, legal, health support available for children and caregivers)",Very important,Important,96,100,96,5,100,100
